DAUID,revenu_median,Nombre_ménages_faible_revenu,Pourcentage_population_active_15_64_ans,nombre_pop_total
"24660959",63600,5,64,368
"24660960",60400,5,66,466
"24660962",67500,0,71,461
"24660964",73500,5,60,561
"24660963",45200,10,69,434
"24660958",56000,10,66,527
"24660965",57600,5,63,485
"24660957",54800,10,61,402
"24660949",60800,0,66,596
"24660961",57200,5,64,546
"24660966",87000,0,62,614
"24660967",70000,5,64,758
"24660969",51200,5,41,639
"24660968",29600,90,37,992
"24662174",53200,10,67,777
"24662176",58800,15,68,823
"24662175",47600,5,55,702
"24662177",76500,5,59,326
"24662171",67000,10,69,1076
"24660881",67000,0,59,281
"24660880",61200,5,66,567
"24662173",60800,25,62,960
"24660879",58000,5,64,510
"24660882",62000,5,61,433
"24662172",62000,10,65,407
"24660955",46000,10,48,796
"24660956",63200,0,69,540
"24660954",59600,5,60,452
"24660951",64000,5,65,535
"24660953",86000,5,62,471
"24660952",42800,10,73,820
"24660907",59600,5,60,341
"24662180",47200,15,67,905
"24660906",65000,5,60,410
"24660905",52400,15,64,684
"24660908",54400,10,66,759
"24662178",54800,10,64,949
"24660904",58400,5,69,415
"24662179",54800,25,65,932
"24660903",66500,10,61,458
"24660902",46000,10,65,580
"24660884",60800,5,63,651
"24660883",60800,10,66,734
"24660885",52800,5,67,582
"24660886",51600,15,68,898
"24660891",64000,0,65,457
"24660889",63600,5,60,425
"24660916",54000,5,75,440
"24660878",,,68,221
"24660981",53200,10,69,945
"24660985",107000,10,60,414
"24660984",89000,5,53,302
"24660971",57600,5,61,449
"24660972",51200,5,64,319
"24660970",57200,5,63,516
"24660973",63200,5,65,397
"24660983",39200,20,44,664
"24660974",51200,5,67,362
"24660975",55600,10,64,630
"24660982",42800,5,59,431
"24660986",54400,5,62,412
"24660987",59200,5,57,451
"24660976",38000,15,58,492
"24660980",60800,5,71,425
"24660977",53200,5,67,517
"24660979",62800,5,68,501
"24660978",60800,5,68,530
"24660988",49600,0,61,343
"24660989",63200,0,69,351
"24662124",68000,5,66,584
"24660992",58800,15,64,789
"24660990",61600,0,67,576
"24662170",74500,5,59,664
"24662169",56000,0,70,383
"24660991",56800,10,68,641
"24662121",66500,5,61,520
"24660993",59600,0,69,519
"24660994",61600,10,67,566
"24662119",89000,0,62,788
"24662122",108000,0,64,660
"24662123",63600,5,65,479
"24662120",69500,10,61,531
"24662117",75500,5,64,345
"24662118",86000,0,62,381
"24660995",57200,0,66,263
"24661002",55600,10,67,858
"24661209",59600,5,67,642
"24661210",59600,5,63,321
